target	type
ABCC3	biomarker
ACADSB	biomarker
ANXA2	biomarker
ANXA4	biomarker
AOX1	biomarker
APOD	biomarker
AQP3	biomarker
ARG2	biomarker
ARID5B	biomarker
BCL6	biomarker
C10orf10	biomarker
C1R	biomarker
C4BPA	biomarker
CD55	biomarker
CEBPD	biomarker
CFD	biomarker
CLDN4	biomarker
COMP	biomarker
CP	biomarker
CRABP2	biomarker
DDX52	biomarker
DEFB1	biomarker
DKK1	biomarker
DPP4	biomarker
DYNLT3	biomarker
EDN3	biomarker
EDNRB	biomarker
EFNA1	biomarker
ENPEP	biomarker
G0S2	biomarker
GADD45A	biomarker
GBP2	biomarker
GNLY	biomarker
GPX3	biomarker
HABP2	biomarker
ID4	biomarker
IDO1	biomarker
IGFBP1	biomarker
IL15	biomarker
LAMB3	biomarker
MAOA	biomarker
MAP3K5	biomarker
MMP7	biomarker
MT1G	biomarker
MT1H	biomarker
NDRG1	biomarker
NNMT	biomarker
OLFM1	biomarker
PAEP	biomarker
PRUNE2	biomarker
S100P	biomarker
SERPING1	biomarker
SFRP4	biomarker
SLC1A1	biomarker
SPP1	biomarker
TCN1	biomarker
TSPAN8	biomarker
CYC1	housekeeper
HMBS	housekeeper
TBP	housekeeper
SDHA	housekeeper
